id,epic,milestone,title,type,priority,size,status,owner_role,depends_on,req_ids,acceptance
T-001,E-00,M0,Answer Q-01: warehouse of record and dialect tiers,discovery,P0,S,todo,product,,Q-01,"A written, dated answer on which warehouse holds the pilot data and whether anything outside engines.yaml is in play."
T-002,E-11,M0,Capture pre-rollout baselines for success metrics,discovery,P0,S,todo,product,,Q-07 FR-MIG-01,Baseline recorded for data-team ad-hoc hours/week and legacy dashboard usage.
T-003,E-00,M0,ADR-001 deployment target and topology,adr,P0,M,done,architect,,ADR-001,"ADR-001 merged: single VM running the same Docker Compose file as the dev loop, one poc environment, Terraform for VM DNS volume and firewall, and a stated growth path to Tier 2 that needs no redesign."
T-004,E-00,M0,ADR-002 warehouse of record and dialect support tiers,adr,P0,M,todo,architect,T-001 T-005,ADR-002 Q-01 FR-SEM-12,"ADR merged naming the certified serving dialect, the tier model as derived from the conformance suite, and the boundary that admits future dialects."
T-005,E-00,M0,ADR-003 select semantic engine and score dialect matrix,spike,P0,L,done,architect,T-001,ADR-003 Q-02 FR-SEM-12,"ADR-003 merged selecting Cube Core, scored against FR-SEM-01 to FR-SEM-05, the dialect matrix, compile-time security context, and an extension model requiring no fork."
T-006,E-00,M0,ADR-004 spec format and repository layout,adr,P0,M,done,architect,T-005,ADR-004 FR-VIZ-01 FR-SEM-01,"ADR-004 merged defining file layout, JSON Schema strategy, deterministic serialization and tenancy path separability, derived from the ADR-003 profile. Author-facing spec visibility is explicitly out of scope and left to T-122."
T-007,E-00,M0,ADR-005 front-end stack and chart library,adr,P0,L,done,architect,,ADR-005 FR-VIZ-03 NFR-A11Y-01,"ADR-005 merged selecting React plus Vite and Apache ECharts behind a narrow adapter, with a no-browser headless render path, evaluated against chart coverage, cross-filter and drill interactions, server-side rendering for CI screenshots, and WCAG 2.1 AA."
T-008,E-00,M0,ADR-006 backend framework and API style,adr,P0,M,done,architect,,ADR-006 NFR-PERF-03,"ADR-006 merged selecting TypeScript on Fastify with REST plus JSON Schema, a uniform response envelope, and SSE over externalized job state as the one streaming transport for AI responses."
T-009,E-00,M0,ADR-014 multi-tenancy model and tenant scoping design,adr,P0,M,done,architect,,ADR-014 Q-03 NFR-TEN-01,"ADR-014 merged defining tenant scope in artifact registry, cache keys, connections, RLS context, audit log, and repo layout, plus the three mechanical checks that substitute for the deferred NFR-TEN-02 ceremony."
T-010,E-00,M0,Repository scaffold CI pipeline and IaC skeleton,infra,P0,L,in-progress,fullstack,T-003 T-006 T-007 T-008 T-009,NFR-OPS-02,"A commit to main builds, tests, and deploys to a real staging environment. STARTED 2026-08-10: workspace tree, version pinning, CODEOWNERS and root package.json landed. REMAINING: docker-compose (5 services incl. T-132 Cube env block), apps/api /healthz with the ADR-006 D3 envelope, apps/web trace-id page, Dockerfiles, GitHub Actions, Terraform module."
T-011,E-00,M0,Walking skeleton one model one dashboard one query,feature,P0,L,todo,fullstack,T-010 T-014 T-031,ADR-004 ADR-001 ADR-006,"A hand-written metric change in a file is visible on the deployed dashboard, running against DuckDB with no production warehouse dependency."
T-012,E-01,M0,Define spec JSON Schemas v0 for models metrics dashboards,feature,P0,M,todo,architect,T-006,FR-SEM-11 FR-DEV-03 ADR-004,"Invalid specs are rejected identically by the app, the CLI, and CI."
T-013,E-01,M0,Deterministic lossless spec serializer,feature,P0,M,todo,fullstack,T-012,NFR-QUAL-01 FR-VIZ-02 FR-DEV-04 ADR-004,"Property test proves both idempotence (fmt of fmt equals fmt, byte-for-byte) and semantic preservation (parse of fmt deep-equals parse, comments included), and a check mode fails CI on any non-canonical file under content/."
T-014,E-01,M0,Integrate adopted engine and compile single model single metric to SQL,feature,P0,M,todo,fullstack,T-005 T-012,FR-SEM-05 FR-SEM-14 ADR-003,"A metric plus a dimension plus a filter compiles through the engine facade to correct SQL and returns a result, with the security context a required parameter of the call."
T-015,E-01,M1,Model and verify join topologies including fan-out and chasm cases,feature,P0,L,todo,fullstack,T-014,FR-SEM-05 ADR-003,"Fan-out and chasm topologies return correct values through the adopted engine, and the negative control proves the mechanism is engaged rather than incidentally correct."
T-016,E-01,M1,Model time spine grain rollups and fiscal calendar in the engine,feature,P0,M,todo,fullstack,T-014,FR-SEM-04,The same metric rolls up correctly across day week month quarter year and one fiscal boundary.
T-017,E-01,M1,Model derived ratio and filtered metrics in the engine,feature,P0,M,todo,fullstack,T-015,FR-SEM-03,A ratio metric composed of two measures computes correctly at every supported grain.
T-018,E-01,M1,Model time-offset comparison metrics YoY MoM PTD in the engine,feature,P1,S,todo,fullstack,T-016,FR-SEM-03,YoY and period-to-date variants resolve without a hand-written duplicate metric.
T-019,E-01,M1,Required metadata enforcement in CI,feature,P0,S,todo,fullstack,T-012,FR-SEM-06 ADR-003,A model or metric whose engine metadata block is missing owner or description fails CI.
T-020,E-01,M1,Certification states and deprecation warnings,feature,P0,M,todo,fullstack,T-019,FR-SEM-07 ADR-003,"A deprecated metric still resolves, and its certification state and replacement reach the UI through the engine metadata API with no engine patch in the tree."
T-021,E-01,M2,Metric assertion runner golden values,feature,P1,M,todo,data-team,T-014,FR-SEM-08,A metric whose value drifts outside its declared tolerance fails CI with a readable message.
T-022,E-01,M3,Impact analysis dependency graph,feature,P1,L,todo,fullstack,T-015,FR-SEM-09,Changing a dimension lists every downstream metric and dashboard affected.
T-023,E-01,M1,Golden-file dialect test harness,chore,P1,M,todo,fullstack,T-097,NFR-QUAL-02,"Compiler output is snapshot-tested per supported dialect, extending the conformance suite, and diffs fail the build."
T-024,E-02,M0,Query execution service and connection pooling,feature,P0,M,todo,fullstack,T-008,FR-SEC-06 NFR-SCALE-02,"Compiled SQL executes against a pooled, secrets-managed connection; DuckDB development-tier is the M0 target so no warehouse credentials are required to build or test."
T-025,E-02,M1,Result cache with RLS-safe key strategy,feature,P0,XL,todo,architect,T-024 T-075,ADR-008 NFR-SCALE-03 FR-SEC-04 ADR-014,Cache hit rate exceeds 85 percent in load test with a written proof that no result crosses a security boundary.
T-026,E-02,M1,Cache invalidation on spec version and data freshness,feature,P0,L,todo,fullstack,T-025,NFR-SCALE-03,A merged spec change or an upstream data refresh invalidates exactly the affected entries.
T-027,E-02,M1,Query governor timeouts row limits concurrency caps,feature,P1,M,todo,fullstack,T-024,FR-ADM-03,A runaway query is terminated at the configured limit and the user sees a clear message.
